titulo,empresa,descripcion,fecha,tecnologias,link
Analista Programador Java (DIAGRAMAS FLUJO UML),Second Window,¡Te ofrecemos crecer con nosotros en nuestra unidad tecnológica de Software Development como Analista Desarrollador/a Java! Si estas interesado en seguir impulsando tu ...UMLJavaJenkins,,"UML, Java, Jenkins",https://www.tecnoempleo.com/analista-programador-java-diagramas-flujo-uml-seco/uml-java-jenkins-sonrqu/rf-a44e1926b29f13678a4b
Arquitecto Front Angular,Second Window,¡Desde Second Window estamos buscando un perfil Arquitecto Front AngularDesarrollador/ microfrofrontales para un proyecto estable y de larga duración en modalidad en remoto ...ANGULARMICROFRONTALESHTML,,"ANGULAR, MICROFRONTALES, HTML",https://www.tecnoempleo.com/arquitecto-front-angular-second-window/angular-microfrontales-html/rf-d0bc152e22e4e32bd945
Security Technician,Second Window,"Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas comoSecurity Technician en una posición estable y a largo plazo, en modalidad híbrida de trabajo...MerakiFortinet",,"Meraki, Fortinet",https://www.tecnoempleo.com/security-technician-second-window/meraki-fortinet/rf-4b021e8fb2aa1353464b
Analista Programador/a Dynamics CRM 365,Serem,"En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un/a Analista Programador...DynamicsCRM",,"Dynamics, CRM",https://www.tecnoempleo.com/analista-programador-dynamics-crm-365-serem/dynamics-crm/rf-0cb81af6328373aa4341
Frontend AI Engineer,Axiom Software Solutions,"Position: Frontend AI Engineer
Location: Barcelona, Spain (Hybrid 2 days onsite a week)
Duration: Long Term B2B Contract

Job Description:
As a Frontend AI Engineer, you ...HTMLCSSand JavaScript",,"HTML, CSS, and JavaScript",https://www.tecnoempleo.com/frontend-ai-engineer-axiom-software-solutions/html-css-and-javascript/rf-03d31fd122f9f3fcd04a
Platform Engineer,Axiom Software Solutions,"Position: Platform Engineer
Location: Barcelona, Spain (Hybrid 3 days a week onsite) 
Duration: Long Term B2B Contract

Job Description:
•	Provide technical support and...KubernetesPythonSnowflake",,"Kubernetes, Python, Snowflake",https://www.tecnoempleo.com/platform-engineer-axiom-software-solutions/kubernetes-python-snowflake-pos/rf-0a821a9772b6030a804c
Técnico/a en microinformática,Grupo Sermicro,Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador ...windowssoportehardware,,"windows, soporte, hardware",https://www.tecnoempleo.com/tecnico-en-microinformatica-grupo-sermicro/windows-soporte-hardware-micros/rf-6c8915c242abd37da543
QA Engineer Funcional CORE Bancario,PANEL Sistemas Informáticos,Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la ...TemenosSeleniumPostman,,"Temenos, Selenium, Postman",https://www.tecnoempleo.com/qa-engineer-funcional-core-bancario-panel-sistemas/temenos-selenium-postma/rf-dc351c2742776334204a
Senior QA Automation Engineer,Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...QAPlaywrightTypescript",,"QA, Playwright, Typescript",https://www.tecnoempleo.com/senior-qa-automation-engineer-julius-baer/qa-playwright-typescript-xray/rf-02cf13f702baf30d9340
Identity & Access Management Operation,Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...Active Directory",,Active Directory,https://www.tecnoempleo.com/identity-access-management-operation-julius-baer/active-directory/rf-91821ad8b232c3a41045
Desarrollador/a Web .NET (Fullstack),Digital Talent Agency,"Oferta Laboral: Desarrollador/a Web .NET (Fullstack) – 100% Presencial en Bilbao

Horario: 09:00 a 18:00 (flexible)

Modalidad: 100% presencial en Bilbao

Sector: Seguros

....NetC#SQL",,".Net, C#, SQL",https://www.tecnoempleo.com/desarrollador-web-net-fullstack-digital-talent-age/net-c-sql/rf-b78a1374129283eeb343
HCL Notes Developer  - 100% (f/m/d),Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...HCL NotesDominoLotusScript",,"HCL Notes, Domino, LotusScript",https://www.tecnoempleo.com/hcl-notes-developer-100-f-m-d-julius-baer/hcl-notes-domino-lotusscript-jav/rf-caa11070827dc39a3049
Técnico/a soporte usuarios/as,Grupo Sermicro,Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador ...linuxwindowssoporte,,"linux, windows, soporte",https://www.tecnoempleo.com/tecnico-soporte-usuarios-as-grupo-sermicro/linux-windows-soporte-scala-har/rf-bbeb1ebdb28333ea794c
Coordinador/a HelpDesk,Grupo Sermicro,Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador ...windowssoportehardware,,"windows, soporte, hardware",https://www.tecnoempleo.com/coordinador-helpdesk-grupo-sermicro/windows-soporte-hardware-microsoft-tic/rf-954019203214b3fdc14b
Consultor IAM,Baoss,"🔎 Desde Baoss estamos buscando un/a Consultor/a IAM con experiencia en soluciones IBM Security (ISIM, TIM, ISVG IM) para incorporarse a un proyecto estable en modalidad hí...IBM SDS LDAPIBM ISIM / TIM / ISVG IMCyberArk",,"IBM SDS LDAP, IBM ISIM / TIM / ISVG IM, CyberArk",https://www.tecnoempleo.com/consultor-iam-baoss/ibm-sds-ldap-ibm-isim-tim-isvg-im-cyberark/rf-ca641c6c82b513d84b49
Analista Programador/a COBOL - AS400,PSS,"¿Te apetece formar parte de una compañía del sector IT?
Si estás buscando un proyecto estable y seguir evolucionando en tu carrera profesional acompañado del mejor ...CobolAS400DB2",,"Cobol, AS400, DB2",https://www.tecnoempleo.com/analista-programador-cobol-as400-pss/cobol-as400-db2/rf-bd591b3a9265932f4545
Desarrollador/a Frontend Angular,Digital Talent Agency,"🧩 Oferta de Empleo – Desarrollador/a Frontend Angular

🕒 Horario y Ubicación

Jornada: De lunes a viernes, de 08:00 a 17:00.
Viernes por la tarde libres y jornada ...Angularjava",,"Angular, java",https://www.tecnoempleo.com/desarrollador-frontend-angular-digital-talent-agen/angular-java/rf-bd041d4de215a3f60a44
IT Test Manager Channels 100% (f/m/d),Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...agileSAFgitlab",,"agile, SAF, gitlab",https://www.tecnoempleo.com/it-test-manager-channels-100-f-m-d-julius-baer/agile-saf-gitlab-jenkins/rf-fa9815fef2e94337a141
Tableau Server Admin 100% (w/m/d),Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...TableauPythonPowerShell",,"Tableau, Python, PowerShell",https://www.tecnoempleo.com/tableau-server-admin-100-w-m-d-julius-baer/tableau-python-powershell/rf-0cfd1924b243f3a99841
Técnico/a Instalación de alarmas,Grupo Sermicro,"¡Te invitamos a formar parte de nuestro equipo!
Actualmente estamos buscando un/a Técnico/a de Instalación de alarmas para trabajar en un servicio para grandes empresas.
Te...alarmas",,alarmas,https://www.tecnoempleo.com/tecnico-instalacion-alarmas-grupo-sermicro/alarmas/rf-6133186f124bf323604d
Data Engineer 100% (w/m/d),Julius Baer,"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond ...SQLoracle",,"SQL, oracle",https://www.tecnoempleo.com/data-engineer-100-w-m-d-julius-baer/sql-oracle/rf-12c11017420ac3eb2e45
Ingeniero desarrollo interfaces gráficas,Sedecal,"Formación:
Ciencias Físicas o Ingeniería informática, industrial, electrónica, desarrollo de aplicaciones o similar  

Experiencia:
Más de dos años de experiencia en ...javajavascripttypescript python",,"java, javascript, typescript python",https://www.tecnoempleo.com/ingeniero-desarrollo-interfaces-graficas-sedecal/java-javascript-typescrip/rf-7903169cd2b3438c324c
Ingeniero de diseño,HAYS,Desde hays engineering estamos buscando un Ingeniero/a de Diseño Mecánico altamente motivado y talentoso para unirse a una empresa del sector de la maquinaria ubicada en el ...AutoCADSolidWorks,,"AutoCAD, SolidWorks",https://www.tecnoempleo.com/ingeniero-diseno-hays/autocad-solidworks/rf-e9301f4692f343163f47
Ingeniero/a,HAYS,Desde Hays estamos en búsqueda de un/a Ingeniero/a Eléctrico/a para incorporarse a un proyecto en la provincia de alicante que le permitirá formar parte de una empresa con ...PLCHMI,,"PLC, HMI",https://www.tecnoempleo.com/ingeniero-a-hays/plc-hmi/rf-8bbf19d9a229f356bd43
Business Intelligence,Page Personnel,"Perfil buscado (Hombre/Mujer)

• Recopilación, procesamiento y análisis de datos.
• Creación de informes detallados para la toma de decisiones.
• Proporcionar ...Business Intelligence",,Business Intelligence,https://www.tecnoempleo.com/business-intelligence-page-personnel/business-intelligence/rf-9a771bf5b23aa3b10147
Técnico/a de automatización,HAYS,"Tu nueva empresa
Desde Hays estamos buscando Técnico/a o Ingeniero/a de Automatización para una sólida compañía industrial ubicada en Granollers.Debido al crecimiento de...RobóticaElectrónica",,"Robótica, Electrónica",https://www.tecnoempleo.com/tecnico-automatizacion-hays/robotica-electronica/rf-e8ce190f12088355104c
Data Engineer Freelance,HAYS,Desde Hays estamos colaborando con un empresa que se dedica a contrastar información y hacer accesibles datos del gobierno a los ciudadanos de a pie. Este proyecto es 100% ...SparkDatabricksPython,,"Spark, Databricks, Python",https://www.tecnoempleo.com/data-engineer-freelance-hays/spark-databricks-python/rf-eab81afad2aed3851147
Frontend Developer,Accenture,"We are looking for passionate, curious and driven team players who are ready to ignite ideas, push boundaries and drive innovation. At Accenture you´ll work on innovative ...reactjavaScriptHTML5",,"react, javaScript, HTML5",https://www.tecnoempleo.com/frontend-developer-accenture/react-javascript-html5-css/rf-de34141fc2844308b44c
Data Scientist Junior,EY,EY wavespace is creating innovative AI technology and products that will transform EY and our clients. The successful candidate will be part of a team building innovative AI ...Pythonazure,,"Python, azure",https://www.tecnoempleo.com/data-scientist-junior-ey/python-azure/rf-bf59139612d6b3bd874b
Senior Data Scientist,EY,EY wavespace Madrid is looking for a data scientist with background in Generative AI technologies to help design and build cutting edge Gen AI solutions. EY wavespace is ...dataAI,,"data, AI",https://www.tecnoempleo.com/senior-data-scientist-ey/data-ai/rf-3419105ee28e43148145
Tech Junior Analyst con discapacidad,Page Personnel,"Perfil buscado (Hombre/Mujer)

Las principales funciones serían:

- Apoyar el éxito del cliente en el campo de la gestión de activos de software.
- Trabajar con ...SAM",,SAM,https://www.tecnoempleo.com/tech-junior-analyst-con-discapacidad-hibrido/sam/rf-e8471334321bf361cd45
Desarrollador C++,HAYS,"Actualmente, buscamos un/a Desarrollador Senior C++ para incorporarse a su equipo.

¿Cuáles serán tus funciones?

 - Desarrollo y mantenimiento de sitios web para sus ...C++SQL",,"C++, SQL",https://www.tecnoempleo.com/desarrollador-c-remoto/c-sql/rf-bb591f9e326333370a4a
Desarrollador Angular/Ionic,Second Window,¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Desarrollador Angular e Ionic en una posición 100% Teletrabajo. Proyecto estable y a largo ...AngularIonicOpenApi,,"Angular, Ionic, OpenApi",https://www.tecnoempleo.com/desarrollador-angular-ionic-second-window/angular-ionic-openapi-typescript/rf-143d1128829cb37af342
Fullstack (Java/Javascript),Second Window,Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Desarrollador Java/ Fullstack en una posición 100% en remoto. Proyecto estable y a largo plazo...JavaSpringJavaScript,,"Java, Spring, JavaScript",https://www.tecnoempleo.com/fullstack-java-javascript-second-window/java-spring-javascript-html-css-jq/rf-a3b11deb42aaf3ee7544
Full stack (Java - Angular),Second Window,Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Desarrollador Java Senior en una posición 100% en remoto. Proyecto estable y a largo plazo ...JAVAMAVENANGULAR,,"JAVA, MAVEN, ANGULAR",https://www.tecnoempleo.com/full-stack-java-angular-second-window/java-maven-angular-nodejs-springboot/rf-6653153342a883b2f445
TechOps Engineer,Aristocrat,"*Aristocrat Interactive*, a leading provider of innovative technological solutions and platforms in the iGaming industry, is looking for a *TechOps Engineer* to join our ...AWSLinuxMySQL",,"AWS, Linux, MySQL",https://www.tecnoempleo.com/techops-engineer-aristocrat/aws-linux-mysql-windows/rf-c5cb1c539220b3592d48
.NET Developer,Aristocrat,"We are on the lookout for extraordinary people, who will be eager to learn, to be a part of a team and share our vision.
For our offices in Cracow and Warsaw, we are looking ....NetC#",,".Net, C#",https://www.tecnoempleo.com/net-developer-aristocrat/net-c/rf-8d4d12ce12e6930c1540
Digital Marketing Specialist,CDmon,"¡Únete a nuestro equipo en cdmon.com!

Somos una destacada empresa española de dominios y servicios web, dedicada a crear una Internet abierta y de calidad donde cualquiera...marketingseosem",,"marketing, seo, sem",https://www.tecnoempleo.com/digital-marketing-specialist-cdmon/marketing-seo-sem/rf-944b1c4062c523b4f441
Programador/a C++,Alcorce Telecomunicaciones,"Debido a la expansión de Alcorce Telecomunicaciones, S.L. precisamos cubrir una posición de Programador/a C++.

Requisitos:
Experiencia de al menos 2-3 años en programació...c++",,c++,https://www.tecnoempleo.com/programador-c-malaga/c/rf-c72212519261e3ca6b47
Product Owner,Serem,"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestra web!

En SEREM estamos comprometidos con diversos proyectos y ...meta4scrumagile",,"meta4, scrum, agile",https://www.tecnoempleo.com/product-owner-serem/meta4-scrum-agile-jira/rf-f30f11aff2c3a3652849
Front-End Developer (Angular),Bcnc Group,"En BCNC GROUP estamos en la búsqueda de un/a Front-End Developer con más de 3 años de experiencia en Angular 5 o versiones superiores.

La persona seleccionada formará ...angularjavajavascript",,"angular, java, javascript",https://www.tecnoempleo.com/front-end-developer-angular-bcnc-group/angular-java-javascript-git-api-jir/rf-ef001612b2d00393be41
Country Manager Spain,Fides Solutions Sl.,"ABOUT US

Fides is a tech company that partners with businesses for Digital Transformation. With over 20 years of experience, it develops tailored technological solutions and ...CloudAWS",,"Cloud, AWS",https://www.tecnoempleo.com/country-manager-spain-fides-solutions/cloud-aws/rf-76b51d3d820b9322be4a
Programadores Angular,Seltime,"SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros profesionales.

...javaangulargit",,"java, angular, git",https://www.tecnoempleo.com/programadores-angular-seltime/java-angular-git-android-ios-hibernate/rf-0bbc1600220063154c4e
